"","YEAR","INJURY","AUTOMOBILE","ALCOHOL"
"168",2007,"Minimal","Yes","Yes"
"169",2007,"Minimal","Yes","Yes"
"170",2007,"Major","Yes","Yes"
"171",2007,"None","Yes","Yes"
"172",2007,"None","Yes","Yes"
"173",2007,"None","Yes","Yes"
"174",2007,"None","Yes","Yes"
"175",2007,"Major","Yes","Yes"
"176",2007,"Major","Yes","Yes"
"177",2007,"None","Yes","Yes"
"178",2007,"None","Yes","Yes"
"179",2007,"Major","Yes","Yes"
"180",2007,"None","Yes","Yes"
"181",2007,"None","Yes","Yes"
"182",2007,"Minimal","Yes","Yes"
"183",2008,"Minor","Yes","Yes"
"184",2008,"None","Yes","Yes"
"185",2008,"None","Yes","Yes"
"186",2008,"None","Yes","Yes"
"187",2008,"Major","Yes","Yes"
"188",2008,"Fatal","Yes","Yes"
"189",2008,"Minor","Yes","Yes"
"190",2008,"Minor","Yes","Yes"
"191",2008,"Major","Yes","Yes"
"192",2008,"Major","Yes","Yes"
"193",2008,"Major","Yes","Yes"
"194",2008,"Minor","Yes","Yes"
"195",2008,"None","Yes","Yes"
"196",2008,"Major","Yes","Yes"
"197",2008,"Minimal","Yes","Yes"
"198",2008,"Minimal","Yes","Yes"
"199",2008,"None","Yes","Yes"
"200",2008,"None","Yes","Yes"
"201",2008,"Fatal","Yes","Yes"
"202",2008,"None","Yes","Yes"
"203",2008,"Major","Yes","Yes"
"204",2008,"Minor","Yes","Yes"
"205",2008,"None","Yes","Yes"
"206",2008,"None","Yes","Yes"
"207",2008,"Minimal","Yes","Yes"
"208",2008,"Major","Yes","Yes"
"209",2008,"None","Yes","Yes"
"210",2008,"None","Yes","Yes"
"211",2008,"None","Yes","Yes"
"212",2008,"Major","Yes","Yes"
"213",2008,"None","Yes","Yes"
"214",2008,"None","Yes","Yes"
"215",2008,"None","Yes","Yes"
"216",2008,"Major","Yes","Yes"
"217",2008,"Minor","Yes","Yes"
"218",2008,"Minor","Yes","Yes"
"219",2008,"None","Yes","Yes"
"220",2008,"None","Yes","Yes"
"221",2008,"Major","Yes","Yes"
"222",2008,"None","Yes","Yes"
"223",2008,"Major","Yes","Yes"
"224",2008,"Major","Yes","Yes"
"225",2008,"None","Yes","Yes"
"226",2008,"None","Yes","Yes"
"227",2008,"Major","Yes","Yes"
"228",2008,"Minor","Yes","Yes"
"229",2008,"Minor","Yes","Yes"
"230",2008,"None","Yes","Yes"
"231",2008,"Minor","Yes","Yes"
"232",2008,"Minor","Yes","Yes"
"233",2008,"Fatal","Yes","Yes"
"234",2008,"Minor","Yes","Yes"
"235",2008,"Minor","Yes","Yes"
"236",2008,"Minor","Yes","Yes"
"237",2008,"Minor","Yes","Yes"
"238",2008,"Major","Yes","Yes"
"239",2008,"None","Yes","Yes"
"240",2008,"None","Yes","Yes"
"241",2008,"Major","Yes","Yes"
"242",2008,"Major","Yes","Yes"
"243",2008,"None","Yes","Yes"
"244",2008,"None","Yes","Yes"
"245",2008,"Major","Yes","Yes"
"246",2008,"Minor","Yes","Yes"
"247",2008,"Major","Yes","Yes"
"248",2008,"None","Yes","Yes"
"249",2008,"Major","Yes","Yes"
"250",2008,"Major","Yes","Yes"
