"","YEAR","INJURY","AUTOMOBILE","ALCOHOL"
"727",2020,"Major","Yes","Yes"
"728",2020,"Major","Yes","Yes"
"729",2020,"Major","Yes","Yes"
"730",2021,"Major","Yes","Yes"
"731",2021,"Minor","Yes","Yes"
"732",2021,"Minor","Yes","Yes"
"733",2021,"Minor","Yes","Yes"
"734",2021,"Minor","Yes","Yes"
"735",2020,"Major","Yes","Yes"
"736",2020,"Minor","Yes","Yes"
"737",2020,"Major","Yes","Yes"
"738",2020,"Minor","Yes","Yes"
"739",2021,"Major","Yes","Yes"
"740",2021,"None","Yes","Yes"
"741",2021,"Minor","Yes","Yes"
"742",2021,"Minor","Yes","Yes"
"743",2021,"Major","Yes","Yes"
"744",2021,"None","Yes","Yes"
"745",2021,"Fatal","Yes","Yes"
"746",2021,"None","Yes","Yes"
"747",2021,"Fatal","Yes","Yes"
"748",2021,"None","Yes","Yes"
"749",2021,"Major","Yes","Yes"
"750",2021,"None","Yes","Yes"
"751",2021,"Major","Yes","Yes"
"752",2021,"Minor","Yes","Yes"
"753",2021,"Minor","Yes","Yes"
"754",2021,"None","Yes","Yes"
"755",2021,"Major","Yes","Yes"
